category,dataset_or_condition,backbone,model,seeds,images,srcc,plcc,delta_srcc,images_per_second,head_size_mb,model_parameter_size_mb,notes
KADID validation,KADID-10k reference split,CLIP-Base,image-only baseline,0-2,2000,0.7599,0.73,0.0,,,,5 epochs; SRCC sample SD 0.0176
KADID validation,KADID-10k reference split,CLIP-Base,text concat,0-2,2000,0.7648,0.7574,0.0049,,,,5 epochs; SRCC sample SD 0.0281
KADID validation,KADID-10k reference split,CLIP-Base,"text interaction [v, t, v*t]",0-2,2000,0.7847,0.7892,0.0248,,,,5 epochs; SRCC sample SD 0.0038
KADID validation,KADID-10k reference split,CLIP-Base,residual text correction,0-2,2000,0.7753,0.7427,0.0154,,,,5 epochs; SRCC sample SD 0.0278
Semantic intervention,held-out paraphrase,CLIP-Base,"text interaction [v, t, v*t]",0-2,2000,0.7752,,-0.0109,,,,Canonical condition SRCC 0.7861
Semantic intervention,generic prompt,CLIP-Base,"text interaction [v, t, v*t]",0-2,2000,0.7265,,-0.0596,,,,Canonical condition SRCC 0.7861
Semantic intervention,wrong condition,CLIP-Base,"text interaction [v, t, v*t]",0-2,2000,0.7269,,-0.0592,,,,Canonical condition SRCC 0.7861
Semantic intervention,shuffled condition,CLIP-Base,"text interaction [v, t, v*t]",0-2,2000,0.719,,-0.0671,,,,Canonical condition SRCC 0.7861
Zero-shot reference,KADID-10k reference split,CLIP-Base,CLIP-IQA: good vs bad prompt,0,2000,0.5261,0.5409,,,,,No learned IQA head
KADID validation,KADID-10k reference split,CLIP-Large ViT-L/14@336,image-only baseline,0,2000,0.8469,0.819,0.0,,,,5 epochs
KADID validation,KADID-10k reference split,CLIP-Large ViT-L/14@336,"text interaction [v, t, v*t]",0,2000,0.8896,0.8837,0.0427,,,,5 epochs
Held-out transfer,TID2013,CLIP-Large ViT-L/14@336,image-only baseline,0,3000,0.6458,0.6397,0.0,48.78,1.01,1158.8,Zero-retraining test; KADID-trained checkpoint
Held-out transfer,TID2013,CLIP-Large ViT-L/14@336,"text interaction [v, t, v*t]",0,3000,0.6395,0.6349,-0.0062,48.59,2.523,1160.3,Zero-retraining test; KADID-trained checkpoint
Held-out transfer,CSIQ,CLIP-Large ViT-L/14@336,image-only baseline,0,866,0.8272,0.8379,0.0,47.11,1.01,1158.8,Zero-retraining test; KADID-trained checkpoint
Held-out transfer,CSIQ,CLIP-Large ViT-L/14@336,"text interaction [v, t, v*t]",0,866,0.8333,0.8113,0.0061,46.45,2.523,1160.3,Zero-retraining test; KADID-trained checkpoint
Held-out transfer,CID2013,CLIP-Large ViT-L/14@336,image-only baseline,0,474,0.3739,0.417,0.0,38.02,1.01,1158.8,Zero-retraining test; KADID-trained checkpoint
Held-out transfer,CID2013,CLIP-Large ViT-L/14@336,"text interaction [v, t, v*t]",0,474,0.2574,0.3309,-0.1166,37.81,2.523,1160.3,Zero-retraining test; KADID-trained checkpoint
Held-out transfer,KONIQ10K,CLIP-Large ViT-L/14@336,image-only baseline,0,10073,0.5454,0.5287,0.0,33.13,1.01,1158.8,Zero-retraining test; KADID-trained checkpoint
Held-out transfer,KONIQ10K,CLIP-Large ViT-L/14@336,"text interaction [v, t, v*t]",0,10073,0.5377,0.5263,-0.0077,45.96,2.523,1160.3,Zero-retraining test; KADID-trained checkpoint
Held-out transfer,CLIVE,CLIP-Large ViT-L/14@336,image-only baseline,0,1162,0.5628,0.5501,0.0,24.78,1.01,1158.8,Zero-retraining test; KADID-trained checkpoint
Held-out transfer,CLIVE,CLIP-Large ViT-L/14@336,"text interaction [v, t, v*t]",0,1162,0.52,0.5238,-0.0427,44.26,2.523,1160.3,Zero-retraining test; KADID-trained checkpoint
Held-out transfer,UHDIQA,CLIP-Large ViT-L/14@336,image-only baseline,0,6073,0.1597,0.1596,0.0,11.99,1.01,1158.8,Zero-retraining test; KADID-trained checkpoint
Held-out transfer,UHDIQA,CLIP-Large ViT-L/14@336,"text interaction [v, t, v*t]",0,6073,0.1731,0.1761,0.0134,12.83,2.523,1160.3,Zero-retraining test; KADID-trained checkpoint
Held-out transfer,AGIQA3K,CLIP-Large ViT-L/14@336,image-only baseline,0,2982,0.6775,0.6106,0.0,49.55,1.01,1158.8,Zero-retraining test; KADID-trained checkpoint
Held-out transfer,AGIQA3K,CLIP-Large ViT-L/14@336,"text interaction [v, t, v*t]",0,2982,0.7222,0.6505,0.0448,42.45,2.523,1160.3,Zero-retraining test; KADID-trained checkpoint
