Design,Description,Backbone,Train datasets,Epochs,Seed,Baseline,Latency p50 (ms),Latency p95 (ms),Peak memory (MB),FPS,KADID-10k SRCC,KADID-10k PLCC,SPAQ SRCC,SPAQ PLCC,GFIQA-20k SRCC,GFIQA-20k PLCC,PIPAL SRCC,PIPAL PLCC,AIGCIQA2023 SRCC,AIGCIQA2023 PLCC,TID2013 SRCC,TID2013 PLCC,CSIQ SRCC,CSIQ PLCC,CID2013 SRCC,CID2013 PLCC,KonIQ-10k SRCC,KonIQ-10k PLCC,CLIVE SRCC,CLIVE PLCC,AGIQA-3K SRCC,AGIQA-3K PLCC,UHD-IQA SRCC,UHD-IQA PLCC,Avg validation SRCC,Avg validation PLCC,Avg test SRCC,Avg test PLCC,Avg val+test SRCC,Avg val+test PLCC,Parameters,GFLOPs,run_id,run_name
CLIP-B/16 zero-label concat baseline,"Concat [image, zero labels] -> MLP",CLIP-B/16,KADID-10k,5,0,baseline,"4,6","5,5","346,6","128,6","0,7828","0,7768","0,6971","0,6725",,,"0,4021","0,3751","0,6907","0,6526","0,6002","0,597","0,7766","0,7701","0,2343","0,3511","0,4913","0,4824","0,573","0,5601","0,6885","0,6469","0,1228","0,1333","0,6432","0,6193","0,4981","0,5059","0,5706","0,5626",86.00M,"35,1265",7d94d560511b4c2d9e71d48a185e33e5,zero-labels-concat-kadid
CLIP-B/16 hard-label concat,"Concat [image, ground-truth hard labels] -> MLP",CLIP-B/16,KADID-10k,2,0,variant,"5,2","6,8","346,6","128,0","0,7867","0,7814","0,6985","0,6739",,,"0,4013","0,3751","0,6947","0,6588","0,5998","0,5954","0,7803","0,7713","0,2487","0,3617","0,496","0,4889","0,5743","0,5631","0,691","0,6524","0,1276","0,138","0,6453","0,6223","0,5025","0,5101","0,5739","0,5662",86.00M,"35,1265",1f7c78d4c35349e5af012ffb3641ce73,hard-labels-concat-kadid
CLIP-B/16 frozen pretrained classifier hard-label concat,"Concat [image, hard labels from frozen pretrained classifier] -> MLP",CLIP-B/16,KADID-10k,2,0,variant,"4,6","5,2","407,2","76,09","0,7718","0,7586","0,6821","0,6531",,,"0,3797","0,3505","0,6702","0,628","0,5837","0,565","0,7804","0,7457","0,2126","0,3053","0,4671","0,4639","0,5196","0,5128","0,6508","0,6052","0,1131","0,122","0,6259","0,5976","0,4753","0,4743","0,5506","0,5359",97.18M,"49,3389",6099b88453724e479e07f8647df08152,frozen-trained-hard-concat-kadid
CLIP-B/16 joint pretrained classifier hard-label concat,"Concat [image, hard labels from joint pretrained classifier] -> MLP",CLIP-B/16,KADID-10k,2,0,variant,"4,9","8,1","407,2","75,37","0,7713","0,752","0,6938","0,6581",,,"0,3803","0,3485","0,6703","0,6268","0,586","0,5596","0,7864","0,7174","0,1813","0,2631","0,4641","0,446","0,5319","0,5209","0,6692","0,6217","0,1179","0,1243","0,6289","0,5964","0,4767","0,4647","0,5528","0,5305",97.18M,"49,3389",c19c54c50a3f455cad70858d4abf0b06,joint-pretrained-hard-concat-kadid
CLIP-B/16 frozen pretrained classifier soft-label concat,"Concat [image, soft labels from frozen pretrained classifier] -> MLP",CLIP-B/16,KADID-10k,2,0,variant,"4,0","4,1","407,2","100,46","0,7679","0,7536","0,684","0,6546",,,"0,3838","0,3522","0,6606","0,6166","0,5842","0,5658","0,7841","0,7494","0,2133","0,306","0,4727","0,4682","0,5177","0,5104","0,6503","0,6029","0,1202","0,1291","0,6241","0,5942","0,4775","0,476","0,5508","0,5351",97.18M,"49,3389",54110f87c1f54c02ac021e6e570852b8,frozen-trained-soft-concat-kadid
CLIP-B/16 joint pretrained classifier soft-label concat,"Concat [image, soft labels from joint pretrained classifier] -> MLP",CLIP-B/16,KADID-10k,2,0,variant,"4,0","4,0","407,2","99,14","0,769","0,7477","0,6914","0,6563",,,"0,3782","0,3468","0,6704","0,6278","0,5844","0,5585","0,7839","0,7119","0,1677","0,2586","0,4593","0,4424","0,5349","0,5238","0,661","0,6109","0,1201","0,1267","0,6272","0,5946","0,4731","0,4618","0,5501","0,5282",97.18M,"49,3389",cb414b70c3db496391197de58410cc5d,joint-pretrained-soft-concat-kadid
CLIP-B/16 joint scratch classifier hard-label concat,"Concat [image, hard labels from joint scratch classifier] -> MLP",CLIP-B/16,KADID-10k,2,0,variant,"10,3","42,4","407,2","84,22","0,7671","0,7472","0,6856","0,6503",,,"0,3788","0,3482","0,6696","0,6263","0,5798","0,5559","0,7855","0,717","0,1825","0,2743","0,4614","0,4442","0,5336","0,5219","0,6569","0,6052","0,1257","0,1316","0,6253","0,593","0,4751","0,4643","0,5502","0,5286",97.18M,"49,3389",50b98878e23648c7b26dcaee3fc15378,joint-untrained-hard-concat-kadid
CLIP-B/16 joint scratch classifier soft-label concat,"Concat [image, soft labels from joint scratch classifier] -> MLP",CLIP-B/16,KADID-10k,2,0,variant,"4,3","4,8","407,2","90,42","0,7674","0,7527","0,6807","0,6506",,,"0,3869","0,3546","0,6647","0,6185","0,5815","0,5604","0,783","0,7485","0,22","0,3176","0,4803","0,4749","0,5225","0,5151","0,6474","0,5987","0,1226","0,1313","0,6249","0,5941","0,4796","0,4781","0,5523","0,5361",97.18M,"49,3389",171c3ea5bc2b48eb80634dd0a6b09279,joint-untrained-soft-concat-kadid
CLIP-B/16 joint scratch classifier soft-label concat,"Concat [image, soft 32-d embedded labels from joint scratch classifier] -> 2-hidden-layer MLP",CLIP-B/16,KADID-10k,5,0,variant,"5,1","16,5","407,5","69,41","0,7692","0,7722","0,7114","0,6848",,,"0,403","0,3729","0,7008","0,674","0,6366","0,6461","0,8021","0,8061","0,2043","0,2776","0,4933","0,4903","0,5726","0,562","0,6965","0,6672","0,1335","0,148","0,6461","0,626","0,5055","0,5139","0,5758","0,5699",97.25M,"49,3391",a5550221b7984d2489d798ec30fe769c,joint-scratch-soft-labels-emb32-deep-concat-kadid
CLIP-B/16 joint scratch classifier soft-label concat,"Concat [image, soft 32-d embedded labels from joint scratch classifier] -> MLP",CLIP-B/16,KADID-10k,5,0,variant,"4,1","5,1","407,2","69,15","0,7678","0,7599","0,6959","0,6667",,,"0,3957","0,369","0,692","0,6426","0,5695","0,5635","0,7724","0,7557","0,2261","0,3177","0,4596","0,4543","0,552","0,5359","0,6607","0,608","0,1196","0,1271","0,6379","0,6095","0,48","0,4803","0,5589","0,5449",97.19M,"49,3389",064d557dbabf4a4b98803b4ef68f14b7,joint-scratch-soft-labels-emb32-concat-kadid
CLIP-B/16 hard-label concat,"Concat [image, ground-truth hard 32-d embedded labels] -> 2-hidden-layer MLP",CLIP-B/16,KADID-10k,5,0,variant,"3,6","5,3","346,9","113,63","0,7652","0,7643","0,7141","0,6785",,,"0,3567","0,3312","0,6918","0,6602","0,6035","0,5982","0,7848","0,774","0,232","0,3116","0,5044","0,5013","0,5716","0,5669","0,7137","0,677","0,1539","0,1702","0,6319","0,6085","0,5091","0,5142","0,5705","0,5614",86.07M,"35,1267",93eb3f36b34742cca1559c77ffdc3468,hard-labels-emb32-deep-concat-kadid
CLIP-B/16 hard-label concat,"Concat [image, ground-truth hard 32-d embedded labels] -> MLP",CLIP-B/16,KADID-10k,5,0,variant,"3,6","5,6","346,6","114,74","0,7726","0,7566","0,6984","0,6625",,,"0,3707","0,3423","0,6973","0,6523","0,5916","0,5858","0,7913","0,7793","0,2194","0,3194","0,4557","0,4482","0,5466","0,5399","0,6665","0,6216","0,139","0,1469","0,6348","0,6034","0,4871","0,4916","0,561","0,5475",86.01M,"35,1265",fcafe4e18f28440688ddf1c001c56e98,hard-labels-emb32-concat-kadid
